[log (20/03/17 12:55:44)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (20/03/17 12:55:44)]  TYPE "putty#ENTER."
[log (20/03/17 12:55:46)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (20/03/17 12:55:47)]  TYPE "OPTIMUS#TAB."
[log (20/03/17 12:55:48)]  TYPE "1234#ENTER."
[log (20/03/17 12:55:49)]  TYPE "2313#ENTER."
[log (20/03/17 12:55:50)]  TYPE "A000000300#ENTER."
[log (20/03/17 12:55:52)]  TYPE "#ENTER."
[log (20/03/17 12:55:53)]  TYPE "#F4."
[log (20/03/17 12:55:53)]  TYPE "PRINTER1#ENTER."
[log (20/03/17 12:55:55)]  TYPE "#ENTER."
[log (20/03/17 12:55:56)]  TYPE "#DOWN."
[log (20/03/17 12:55:56)]  TYPE "#DOWN."
[log (20/03/17 12:55:56)]  TYPE "4c "
[log (20/03/17 12:55:56)]  TYPE "#DOWN."
[log (20/03/17 12:55:56)]  TYPE "01012017"
[log (20/03/17 12:55:56)]  TYPE "01012020"
[log (20/03/17 12:55:57)]  TYPE "#ENTER."
[log (20/03/17 12:55:58)]  TYPE "20001219#ENTER."
[log (20/03/17 12:55:59)]  TYPE "8072811522177#ENTER."
[log (20/03/17 12:56:00)]  TYPE "#ENTER."
[log (20/03/17 12:56:04)]  TYPE "#ENTER."
[log (20/03/17 12:56:04)]  TYPE "Y4CNB#ENTER."
[log (20/03/17 12:56:15)]  TYPE "A000000301#ENTER."
[log (20/03/17 12:56:16)]  TYPE "#ENTER."
