[log (21/03/17 09:34:05)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (21/03/17 09:34:05)]  TYPE "putty#ENTER."
[log (21/03/17 09:34:07)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (21/03/17 09:34:08)]  TYPE "OPTIMUS#TAB."
[log (21/03/17 09:34:09)]  TYPE "1234#ENTER."
[log (21/03/17 09:34:10)]  TYPE "2313#ENTER."
[log (21/03/17 09:34:11)]  TYPE "A000000353#ENTER."
[log (21/03/17 09:34:12)]  TYPE "#ENTER."
[log (21/03/17 09:34:13)]  TYPE "#F4."
[log (21/03/17 09:34:14)]  TYPE "PRINTER1#ENTER."
[log (21/03/17 09:34:15)]  TYPE "#ENTER."
[log (21/03/17 09:34:16)]  TYPE "#DOWN."
[log (21/03/17 09:34:16)]  TYPE "#DOWN."
[log (21/03/17 09:34:16)]  TYPE "4c "
[log (21/03/17 09:34:16)]  TYPE "#DOWN."
[log (21/03/17 09:34:16)]  TYPE "01012017"
[log (21/03/17 09:34:16)]  TYPE "01012020"
[log (21/03/17 09:34:17)]  TYPE "#ENTER."
[log (21/03/17 09:34:17)]  TYPE "20001219#ENTER."
[log (21/03/17 09:34:18)]  TYPE "8072811522730#ENTER."
[log (21/03/17 09:34:20)]  TYPE "#ENTER."
