[log (06/03/17 11:58:18)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (06/03/17 11:58:19)]  TYPE "putty#ENTER."
[log (06/03/17 11:58:20)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (06/03/17 11:58:22)]  TYPE "OPTIMUS#TAB."
[log (06/03/17 11:58:23)]  TYPE "1234#ENTER."
[log (06/03/17 11:58:25)]  TYPE "2112#ENTER."
[log (06/03/17 11:58:27)]  TYPE "A000000018#ENTER."
[log (06/03/17 11:58:28)]  TYPE "20001213#ENTER."
[log (06/03/17 11:58:29)]  TYPE "#ENTER."
[log (06/03/17 11:58:30)]  TYPE "REC001#DOWN."
[log (06/03/17 11:58:30)]  TYPE "2017030604"
[log (06/03/17 11:58:30)]  TYPE "#F4."
[log (06/03/17 11:58:31)]  TYPE "50#DOWN."
[log (06/03/17 11:58:31)]  TYPE "24"
[log (06/03/17 11:58:31)]  TYPE "#DOWN."
[log (06/03/17 11:58:31)]  TYPE "#DOWN."
[log (06/03/17 11:58:31)]  TYPE "PALLET#ENTER."
