[log (22/03/17 12:17:46)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (22/03/17 12:17:46)]  TYPE "putty#ENTER."
[log (22/03/17 12:17:48)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (22/03/17 12:17:49)]  TYPE "OPTIMUS#TAB."
[log (22/03/17 12:17:50)]  TYPE "1234#ENTER."
[log (22/03/17 12:17:52)]  TYPE "2313#ENTER."
[log (22/03/17 12:17:53)]  TYPE "A000000404#ENTER."
[log (22/03/17 12:17:55)]  TYPE "#ENTER."
[log (22/03/17 12:17:55)]  TYPE "#F4."
[log (22/03/17 12:17:56)]  TYPE "PRINTER1#ENTER."
[log (22/03/17 12:17:57)]  TYPE "#ENTER."
[log (22/03/17 12:17:58)]  TYPE "#DOWN."
[log (22/03/17 12:17:58)]  TYPE "#DOWN."
[log (22/03/17 12:17:58)]  TYPE "2c "
[log (22/03/17 12:17:58)]  TYPE "#ENTER."
[log (22/03/17 12:17:59)]  TYPE "20001311#ENTER."
[log (22/03/17 12:18:00)]  TYPE "8098491523680#ENTER."
