[log (13/03/17 13:58:46)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (13/03/17 13:58:46)]  TYPE "putty#ENTER."
[log (13/03/17 13:58:48)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (13/03/17 13:58:50)]  TYPE "OPTIMUS#TAB."
[log (13/03/17 13:58:50)]  TYPE "1234#ENTER."
[log (13/03/17 13:58:51)]  TYPE "2313#ENTER."
[log (13/03/17 13:58:53)]  TYPE "A000000045#ENTER."
[log (13/03/17 13:58:54)]  TYPE "#F4."
[log (13/03/17 13:58:55)]  TYPE "PRINTER1#ENTER."
[log (13/03/17 13:58:56)]  TYPE "#ENTER."
[log (13/03/17 13:58:57)]  TYPE "#DOWN."
[log (13/03/17 13:58:57)]  TYPE "#DOWN."
[log (13/03/17 13:58:57)]  TYPE "4c #ENTER."
[log (13/03/17 13:58:58)]  TYPE "20001254#ENTER."
[log (13/03/17 13:58:59)]  TYPE "8098491159733#ENTER."
[log (13/03/17 13:59:01)]  TYPE "#ENTER."
[log (13/03/17 13:59:01)]  TYPE "#ENTER."
[log (13/03/17 13:59:02)]  TYPE "4X#ENTER."
[log (13/03/17 13:59:05)]  TYPE "#F10."
[log (13/03/17 13:59:06)]  TYPE "3#ENTER."
[log (13/03/17 13:59:07)] ( Alt )  TYPE "#F4."
[log (13/03/17 13:59:07)]  TYPE " "
