[log (17/03/17 14:30:48)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (17/03/17 14:30:48)]  TYPE "putty#ENTER."
[log (17/03/17 14:30:50)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (17/03/17 14:30:51)]  TYPE "OPTIMUS#TAB."
[log (17/03/17 14:30:52)]  TYPE "1234#ENTER."
[log (17/03/17 14:30:53)]  TYPE "2313#ENTER."
[log (17/03/17 14:30:54)]  TYPE "A000000253#ENTER."
[log (17/03/17 14:30:55)]  TYPE "#ENTER."
[log (17/03/17 14:30:56)]  TYPE "#F4."
[log (17/03/17 14:30:57)]  TYPE "PRINTER1#ENTER."
[log (17/03/17 14:30:58)]  TYPE "#ENTER."
[log (17/03/17 14:30:59)]  TYPE "#DOWN."
[log (17/03/17 14:30:59)]  TYPE "#DOWN."
[log (17/03/17 14:30:59)]  TYPE "4c "
[log (17/03/17 14:30:59)]  TYPE "#DOWN."
[log (17/03/17 14:31:00)]  TYPE "01012017"
[log (17/03/17 14:31:00)]  TYPE "01012020"
[log (17/03/17 14:31:00)]  TYPE "#ENTER."
[log (17/03/17 14:31:01)]  TYPE "20001219#ENTER."
[log (17/03/17 14:31:02)]  TYPE "8072811434720#ENTER."
[log (17/03/17 14:31:03)]  TYPE "#ENTER."
[log (17/03/17 14:31:07)]  TYPE "#ENTER."
[log (17/03/17 14:31:08)]  TYPE "Y4CNB#ENTER."
[log (17/03/17 14:31:18)]  TYPE "A000000254#ENTER."
