[log (22/03/17 11:48:57)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (22/03/17 11:48:58)]  TYPE "putty#ENTER."
[log (22/03/17 11:48:59)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (22/03/17 11:49:01)]  TYPE "OPTIMUS#TAB."
[log (22/03/17 11:49:02)]  TYPE "1234#ENTER."
[log (22/03/17 11:49:03)]  TYPE "2313#ENTER."
[log (22/03/17 11:49:04)]  TYPE "A000000400#ENTER."
[log (22/03/17 11:49:06)]  TYPE "#ENTER."
[log (22/03/17 11:49:06)]  TYPE "#F4."
[log (22/03/17 11:49:07)]  TYPE "PRINTER1#ENTER."
[log (22/03/17 11:49:08)]  TYPE "#ENTER."
[log (22/03/17 11:49:09)]  TYPE "#DOWN."
[log (22/03/17 11:49:09)]  TYPE "#DOWN."
[log (22/03/17 11:49:09)]  TYPE "1c "
[log (22/03/17 11:49:10)]  TYPE "#ENTER."
[log (22/03/17 11:49:10)]  TYPE "20001311#ENTER."
[log (22/03/17 11:49:11)]  TYPE "8098491523078#ENTER."
[log (22/03/17 11:49:13)]  TYPE "#ENTER."
[log (22/03/17 11:49:13)]  TYPE "#DOWN."
[log (22/03/17 11:49:13)]  TYPE "#DOWN."
[log (22/03/17 11:49:13)]  TYPE "1c "
[log (22/03/17 11:49:13)]  TYPE "#ENTER."
[log (22/03/17 11:49:14)]  TYPE "20001311#ENTER."
[log (22/03/17 11:49:15)]  TYPE "8098491523086#ENTER."
