[log (09/03/17 11:41:38)] CLICK on L(28,1030)@S(0)[0,0 1680x1050]
[log (09/03/17 11:41:39)]  TYPE "putty#ENTER."
[log (09/03/17 11:41:41)] DOUBLE CLICK on L(860,557)@S(0)[0,0 1680x1050]
[log (09/03/17 11:41:43)]  TYPE "OPTIMUS#TAB."
[log (09/03/17 11:41:44)]  TYPE "1234#ENTER."
[log (09/03/17 11:41:46)]  TYPE "2313#ENTER."
[log (09/03/17 11:41:47)]  TYPE "A000000011#ENTER."
[log (09/03/17 11:41:49)]  TYPE "#ENTER."
[log (09/03/17 11:41:50)]  TYPE "#F4."
[log (09/03/17 11:41:51)]  TYPE "PRINTER1#ENTER."
[log (09/03/17 11:41:53)]  TYPE "#ENTER."
[log (09/03/17 11:41:54)]  TYPE "#DOWN."
[log (09/03/17 11:41:54)]  TYPE "#DOWN."
[log (09/03/17 11:41:54)]  TYPE "2c#ENTER."
[log (09/03/17 11:41:54)]  TYPE "20001254"
[log (09/03/17 11:41:55)]  TYPE "8000260893054#ENTER."
[log (09/03/17 11:41:55)]  TYPE "#ENTER."
