[log (09/03/17 13:55:18)] CLICK on L(28,1030)@S(0)[0,0 1680x1050]
[log (09/03/17 13:55:19)]  TYPE "putty#ENTER."
[log (09/03/17 13:55:21)] DOUBLE CLICK on L(860,557)@S(0)[0,0 1680x1050]
[log (09/03/17 13:55:23)]  TYPE "OPTIMUS#TAB."
[log (09/03/17 13:55:24)]  TYPE "1234#ENTER."
[log (09/03/17 13:55:26)]  TYPE "2313#ENTER."
[log (09/03/17 13:55:27)]  TYPE "A000000012#ENTER."
[log (09/03/17 13:55:29)]  TYPE "#ENTER."
[log (09/03/17 13:55:30)]  TYPE "#F4."
[log (09/03/17 13:55:31)]  TYPE "PRINTER1#ENTER."
[log (09/03/17 13:55:33)]  TYPE "#ENTER."
[log (09/03/17 13:55:34)]  TYPE "#DOWN."
[log (09/03/17 13:55:34)]  TYPE "#DOWN."
[log (09/03/17 13:55:34)]  TYPE "#ENTER."
