[log (17/03/17 08:42:10)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (17/03/17 08:42:10)]  TYPE "putty#ENTER."
[log (17/03/17 08:42:12)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (17/03/17 08:42:13)]  TYPE "OPTIMUS#TAB."
[log (17/03/17 08:42:14)]  TYPE "1234#ENTER."
[log (17/03/17 08:42:15)]  TYPE "2313#ENTER."
[log (17/03/17 08:42:16)]  TYPE "A000000224#ENTER."
[log (17/03/17 08:42:18)]  TYPE "#ENTER."
[log (17/03/17 08:42:19)]  TYPE "#F4."
[log (17/03/17 08:42:19)]  TYPE "PRINTER1#ENTER."
[log (17/03/17 08:42:21)]  TYPE "#ENTER."
[log (17/03/17 08:42:22)]  TYPE "#DOWN."
[log (17/03/17 08:42:22)]  TYPE "#DOWN."
[log (17/03/17 08:42:22)]  TYPE "4c "
[log (17/03/17 08:42:22)]  TYPE "#DOWN."
[log (17/03/17 08:42:22)]  TYPE "01012017"
[log (17/03/17 08:42:22)]  TYPE "01012020"
[log (17/03/17 08:42:23)]  TYPE "#ENTER."
[log (17/03/17 08:42:24)]  TYPE "20001254#ENTER."
[log (17/03/17 08:42:25)]  TYPE "8072811417303#ENTER."
[log (17/03/17 08:42:26)]  TYPE "#ENTER."
