[log (13/03/17 11:58:31)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (13/03/17 11:58:32)]  TYPE "putty#ENTER."
[log (13/03/17 11:58:33)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (13/03/17 11:58:35)]  TYPE "OPTIMUS#TAB."
[log (13/03/17 11:58:36)]  TYPE "1234#ENTER."
[log (13/03/17 11:58:37)]  TYPE "2313#ENTER."
[log (13/03/17 11:58:38)]  TYPE "A000000030#ENTER."
[log (13/03/17 11:58:39)]  TYPE "#ENTER."
[log (13/03/17 11:58:40)]  TYPE "#F4."
[log (13/03/17 11:58:41)]  TYPE "PRINTER1#ENTER."
[log (13/03/17 11:58:42)]  TYPE "#ENTER."
[log (13/03/17 11:58:43)]  TYPE "#DOWN."
[log (13/03/17 11:58:43)]  TYPE "#DOWN."
[log (13/03/17 11:58:43)]  TYPE "2c #ENTER."
[log (13/03/17 11:58:44)]  TYPE "20001254#ENTER."
[log (13/03/17 11:58:45)]  TYPE "8098491153942#ENTER."
[log (13/03/17 11:58:46)]  TYPE "#ENTER."
[log (13/03/17 11:58:47)]  TYPE "#ENTER."
[log (13/03/17 11:58:47)]  TYPE "4X"
