[log (21/03/17 15:52:55)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (21/03/17 15:52:56)]  TYPE "putty#ENTER."
[log (21/03/17 15:52:57)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (21/03/17 15:52:59)]  TYPE "TONEW#TAB."
[log (21/03/17 15:52:59)]  TYPE "9876#ENTER."
[log (21/03/17 15:53:00)]  TYPE "2313#ENTER."
[log (21/03/17 15:53:02)]  TYPE "A000000384#ENTER."
[log (21/03/17 15:53:03)]  TYPE "#F4."
[log (21/03/17 15:53:04)]  TYPE "PRINTER1#ENTER."
[log (21/03/17 15:53:06)]  TYPE "#ENTER."
[log (21/03/17 15:53:07)]  TYPE "#DOWN."
[log (21/03/17 15:53:07)]  TYPE "#DOWN."
[log (21/03/17 15:53:07)]  TYPE "1c 8e"
[log (21/03/17 15:53:07)]  TYPE "#ENTER."
[log (21/03/17 15:53:08)]  TYPE "20001311#ENTER."
