[log (20/03/17 14:54:33)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (20/03/17 14:54:34)]  TYPE "putty#ENTER."
[log (20/03/17 14:54:35)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (20/03/17 14:54:37)]  TYPE "OPTIMUS#TAB."
[log (20/03/17 14:54:38)]  TYPE "1234#ENTER."
[log (20/03/17 14:54:39)]  TYPE "2313#ENTER."
[log (20/03/17 14:54:40)]  TYPE "A000000323#ENTER."
[log (20/03/17 14:54:42)]  TYPE "#ENTER."
[log (20/03/17 14:54:43)]  TYPE "#F4."
[log (20/03/17 14:54:43)]  TYPE "PRINTER1#ENTER."
[log (20/03/17 14:54:45)]  TYPE "#ENTER."
[log (20/03/17 14:54:45)]  TYPE "#DOWN."
[log (20/03/17 14:54:45)]  TYPE "#DOWN."
[log (20/03/17 14:54:45)]  TYPE "4c "
[log (20/03/17 14:54:45)]  TYPE "#DOWN."
[log (20/03/17 14:54:45)]  TYPE "01012017"
[log (20/03/17 14:54:46)]  TYPE "01012020"
[log (20/03/17 14:54:46)]  TYPE "#ENTER."
[log (20/03/17 14:54:47)]  TYPE "20001219#ENTER."
[log (20/03/17 14:54:48)]  TYPE "8072811522417#ENTER."
[log (20/03/17 14:54:49)]  TYPE "#ENTER."
[log (20/03/17 14:54:53)]  TYPE "#ENTER."
[log (20/03/17 14:55:51)]  TYPE "Y4CNB#ENTER."
[log (20/03/17 14:56:02)]  TYPE "A000000324#ENTER."
[log (20/03/17 14:56:03)]  TYPE "#ENTER."
[log (20/03/17 14:56:04)]  TYPE "#F4."
[log (20/03/17 14:56:04)]  TYPE "PRINTER1#ENTER."
[log (20/03/17 14:56:05)]  TYPE "#ENTER."
[log (20/03/17 14:56:06)]  TYPE "#DOWN."
[log (20/03/17 14:56:06)]  TYPE "#DOWN."
[log (20/03/17 14:56:06)]  TYPE "4c "
[log (20/03/17 14:56:06)]  TYPE "#ENTER."
[log (20/03/17 14:56:07)]  TYPE "20001219#ENTER."
[log (20/03/17 14:56:08)]  TYPE "8098491522435#ENTER."
[log (20/03/17 14:56:09)]  TYPE "#ENTER."
