[log (06/03/17 12:28:11)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (06/03/17 12:28:12)]  TYPE "putty#ENTER."
[log (06/03/17 12:28:13)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (06/03/17 12:28:14)]  TYPE "OPTIMUS#TAB."
[log (06/03/17 12:28:15)]  TYPE "1234#ENTER."
[log (06/03/17 12:28:16)]  TYPE "2112#ENTER."
[log (06/03/17 12:28:17)]  TYPE "A000000021#ENTER."
[log (06/03/17 12:28:18)]  TYPE "20001213#ENTER."
[log (06/03/17 12:28:19)]  TYPE "#ENTER."
[log (06/03/17 12:28:20)]  TYPE "REC001#DOWN."
[log (06/03/17 12:28:20)]  TYPE "2017030611"
[log (06/03/17 12:28:21)]  TYPE "#F4."
[log (06/03/17 12:28:22)]  TYPE "50#DOWN."
[log (06/03/17 12:28:22)]  TYPE "24"
[log (06/03/17 12:28:23)]  TYPE "#DOWN."
[log (06/03/17 12:28:23)]  TYPE "#DOWN."
[log (06/03/17 12:28:23)]  TYPE "PALLET"
[log (06/03/17 12:28:23)]  TYPE "#F4."
[log (06/03/17 12:28:24)]  TYPE "#DOWN."
[log (06/03/17 12:28:24)]  TYPE "#DOWN."
[log (06/03/17 12:28:24)]  TYPE "06"
[log (06/03/17 12:28:24)]  TYPE "03"
[log (06/03/17 12:28:24)]  TYPE "2022#ENTER."
[log (06/03/17 12:28:25)]  TYPE "Y#ENTER."
[log (06/03/17 12:28:26)]  TYPE "#ENTER."
[log (06/03/17 12:28:27)]  TYPE "#ENTER."
