[log (28/03/17 16:58:58)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (28/03/17 16:58:59)]  TYPE "putty#ENTER."
[log (28/03/17 16:59:01)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (28/03/17 16:59:03)]  TYPE "OPTIMUS#TAB."
[log (28/03/17 16:59:03)]  TYPE "1234#ENTER."
[log (28/03/17 16:59:04)]  TYPE "2313#ENTER."
[log (28/03/17 16:59:05)]  TYPE "A900000204#ENTER."
[log (28/03/17 16:59:07)]  TYPE "#ENTER."
[log (28/03/17 16:59:08)]  TYPE "#F4."
[log (28/03/17 16:59:08)]  TYPE "PRINTER1#ENTER."
[log (28/03/17 16:59:10)]  TYPE "#ENTER."
[log (28/03/17 16:59:10)]  TYPE "#DOWN."
[log (28/03/17 16:59:10)]  TYPE "#DOWN."
[log (28/03/17 16:59:10)]  TYPE "1c "
[log (28/03/17 16:59:11)]  TYPE "#ENTER."
[log (28/03/17 16:59:11)]  TYPE "20001311#ENTER."
[log (28/03/17 16:59:13)]  TYPE "#ENTER."
