[log (22/03/17 09:30:11)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (22/03/17 09:30:12)]  TYPE "putty#ENTER."
[log (22/03/17 09:30:13)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (22/03/17 09:30:15)]  TYPE "OPTIMUS#TAB."
[log (22/03/17 09:30:15)]  TYPE "1234#ENTER."
[log (22/03/17 09:30:16)]  TYPE "2313#ENTER."
[log (22/03/17 09:30:17)]  TYPE "A000000386#ENTER."
[log (22/03/17 09:30:19)]  TYPE "#ENTER."
[log (22/03/17 09:30:19)]  TYPE "#F4."
[log (22/03/17 09:30:20)]  TYPE "PRINTER1#ENTER."
[log (22/03/17 09:30:21)]  TYPE "#ENTER."
[log (22/03/17 09:30:22)]  TYPE "#DOWN."
[log (22/03/17 09:30:22)]  TYPE "#DOWN."
[log (22/03/17 09:30:22)]  TYPE "2c "
[log (22/03/17 09:30:22)]  TYPE "#ENTER."
[log (22/03/17 09:30:23)]  TYPE "20001311#ENTER."
[log (22/03/17 09:30:27)]  TYPE "8098491522963#ENTER."
