[log (22/03/17 10:53:35)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (22/03/17 10:53:36)]  TYPE "putty#ENTER."
[log (22/03/17 10:53:37)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (22/03/17 10:53:39)]  TYPE "OPTIMUS#TAB."
[log (22/03/17 10:53:40)]  TYPE "1234#ENTER."
[log (22/03/17 10:53:41)]  TYPE "2313#ENTER."
[log (22/03/17 10:53:42)]  TYPE "A000000387#ENTER."
[log (22/03/17 10:53:44)]  TYPE "#ENTER."
[log (22/03/17 10:53:44)]  TYPE "#F4."
[log (22/03/17 10:53:45)]  TYPE "PRINTER1#ENTER."
[log (22/03/17 10:53:46)]  TYPE "#ENTER."
[log (22/03/17 10:53:47)]  TYPE "#DOWN."
[log (22/03/17 10:53:47)]  TYPE "#DOWN."
[log (22/03/17 10:53:48)]  TYPE "1c "
[log (22/03/17 10:53:48)]  TYPE "#ENTER."
[log (22/03/17 10:53:48)]  TYPE "20001311#ENTER."
[log (22/03/17 10:53:52)]  TYPE "8098491522948#ENTER."
