[log (13/03/17 15:01:50)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (13/03/17 15:01:51)]  TYPE "putty#ENTER."
[log (13/03/17 15:01:52)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (13/03/17 15:01:54)]  TYPE "OPTIMUS#TAB."
[log (13/03/17 15:01:54)]  TYPE "1234#ENTER."
[log (13/03/17 15:01:55)]  TYPE "2313#ENTER."
[log (13/03/17 15:01:56)]  TYPE "A000000068#ENTER."
[log (13/03/17 15:01:58)]  TYPE "#F4."
[log (13/03/17 15:01:58)]  TYPE "PRINTER1#ENTER."
[log (13/03/17 15:01:59)]  TYPE "#ENTER."
[log (13/03/17 15:02:00)]  TYPE "#DOWN."
[log (13/03/17 15:02:00)]  TYPE "#DOWN."
[log (13/03/17 15:02:00)]  TYPE "4c #ENTER."
[log (13/03/17 15:02:01)]  TYPE "20001254#ENTER."
[log (13/03/17 15:02:02)]  TYPE "8098491163404#ENTER."
[log (13/03/17 15:02:04)]  TYPE "#ENTER."
[log (13/03/17 15:02:04)]  TYPE "#ENTER."
[log (13/03/17 15:02:05)]  TYPE "4X#ENTER."
[log (13/03/17 15:02:11)]  TYPE "A000000069#ENTER."
[log (13/03/17 15:02:12)]  TYPE "#ENTER."
[log (13/03/17 15:02:13)]  TYPE "#F4."
[log (13/03/17 15:02:13)]  TYPE "PRINTER1#ENTER."
[log (13/03/17 15:02:14)]  TYPE "#ENTER."
[log (13/03/17 15:02:14)]  TYPE "#DOWN."
[log (13/03/17 15:02:14)]  TYPE "#DOWN."
[log (13/03/17 15:02:15)]  TYPE "1c #ENTER."
[log (13/03/17 15:02:15)]  TYPE "20001254#ENTER."
[log (13/03/17 15:02:17)]  TYPE "8033531163304#ENTER."
[log (13/03/17 15:02:18)]  TYPE "#ENTER."
[log (13/03/17 15:02:18)]  TYPE "#DOWN."
[log (13/03/17 15:02:18)]  TYPE "#DOWN."
[log (13/03/17 15:02:18)]  TYPE "1c #ENTER."
[log (13/03/17 15:02:19)]  TYPE "20001254#ENTER."
[log (13/03/17 15:02:20)]  TYPE "null#ENTER."
[log (13/03/17 15:02:21)]  TYPE "#ENTER."
