[log (13/03/17 14:56:46)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (13/03/17 14:56:47)]  TYPE "putty#ENTER."
[log (13/03/17 14:56:48)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (13/03/17 14:56:49)]  TYPE "OPTIMUS#TAB."
[log (13/03/17 14:56:50)]  TYPE "1234#ENTER."
[log (13/03/17 14:56:51)]  TYPE "2313#ENTER."
[log (13/03/17 14:56:52)]  TYPE "A000000066#ENTER."
[log (13/03/17 14:56:54)]  TYPE "#F4."
[log (13/03/17 14:56:55)]  TYPE "PRINTER1#ENTER."
[log (13/03/17 14:56:56)]  TYPE "#ENTER."
[log (13/03/17 14:56:57)]  TYPE "#DOWN."
[log (13/03/17 14:56:57)]  TYPE "#DOWN."
[log (13/03/17 14:56:57)]  TYPE "4c #ENTER."
[log (13/03/17 14:56:58)]  TYPE "20001254#ENTER."
[log (13/03/17 14:56:59)]  TYPE "8098491162984#ENTER."
[log (13/03/17 14:57:00)]  TYPE "#ENTER."
[log (13/03/17 14:57:01)]  TYPE "#ENTER."
[log (13/03/17 14:57:01)]  TYPE "4X#ENTER."
[log (13/03/17 14:57:08)]  TYPE "A000000067#ENTER."
