[log (09/03/17 14:57:09)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (09/03/17 14:57:10)]  TYPE "putty#ENTER."
[log (09/03/17 14:57:11)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (09/03/17 14:57:14)]  TYPE "OPTIMUS#TAB."
[log (09/03/17 14:57:15)]  TYPE "1234#ENTER."
[log (09/03/17 14:57:16)]  TYPE "2313#ENTER."
[log (09/03/17 14:57:17)]  TYPE "A000000013#ENTER."
[log (09/03/17 14:57:18)]  TYPE "#ENTER."
[log (09/03/17 14:57:19)]  TYPE "#F4."
[log (09/03/17 14:57:20)]  TYPE "PRINTER1#ENTER."
[log (09/03/17 14:57:21)]  TYPE "#ENTER."
[log (09/03/17 14:57:22)]  TYPE "#DOWN."
[log (09/03/17 14:57:22)]  TYPE "#DOWN."
[log (09/03/17 14:57:22)]  TYPE "1c #ENTER."
[log (09/03/17 14:57:23)]  TYPE "20001254#ENTER."
[log (09/03/17 14:57:24)]  TYPE "8000260901493#ENTER."
