[log (09/03/17 12:12:11)] CLICK on L(28,1030)@S(0)[0,0 1680x1050]
[log (09/03/17 12:12:12)]  TYPE "putty#ENTER."
[log (09/03/17 12:12:14)] DOUBLE CLICK on L(860,557)@S(0)[0,0 1680x1050]
[log (09/03/17 12:12:16)]  TYPE "OPTIMUS#TAB."
[log (09/03/17 12:12:17)]  TYPE "1234#ENTER."
[log (09/03/17 12:12:18)]  TYPE "2313#ENTER."
[log (09/03/17 12:12:20)]  TYPE "A000000011#ENTER."
[log (09/03/17 12:12:21)]  TYPE "#ENTER."
[log (09/03/17 12:12:22)]  TYPE "#F4."
[log (09/03/17 12:12:24)]  TYPE "PRINTER1#ENTER."
[log (09/03/17 12:12:25)]  TYPE "#ENTER."
[log (09/03/17 12:12:26)]  TYPE "#DOWN."
[log (09/03/17 12:12:26)]  TYPE "#DOWN."
[log (09/03/17 12:12:27)]  TYPE "12c#ENTER."
