[log (15/03/17 13:43:34)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (15/03/17 13:43:34)]  TYPE "putty#ENTER."
[log (15/03/17 13:43:36)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (15/03/17 13:43:38)]  TYPE "TONEW#TAB."
[log (15/03/17 13:43:38)]  TYPE "9876#ENTER."
[log (15/03/17 13:43:39)]  TYPE "2112#ENTER."
[log (15/03/17 13:43:40)]  TYPE "A000000010#ENTER."
[log (15/03/17 13:43:41)]  TYPE "20001311#ENTER."
[log (15/03/17 13:43:42)]  TYPE "#ENTER."
[log (15/03/17 13:43:45)]  TYPE "REC001#DOWN."
[log (15/03/17 13:43:45)]  TYPE "2017031503"
[log (15/03/17 13:43:46)]  TYPE "#F4."
[log (15/03/17 13:43:48)]  TYPE "50#DOWN."
[log (15/03/17 13:43:48)]  TYPE "12"
[log (15/03/17 13:43:48)]  TYPE "#DOWN."
[log (15/03/17 13:43:48)]  TYPE "#DOWN."
[log (15/03/17 13:43:48)]  TYPE "PALLET"
[log (15/03/17 13:43:49)]  TYPE "#F4."
[log (15/03/17 13:43:49)]  TYPE "#DOWN."
[log (15/03/17 13:43:49)]  TYPE "#DOWN."
[log (15/03/17 13:43:50)]  TYPE "15"
[log (15/03/17 13:43:50)]  TYPE "03"
[log (15/03/17 13:43:50)]  TYPE "2022"
[log (15/03/17 13:43:50)]  TYPE "Y#ENTER."
[log (15/03/17 13:43:54)]  TYPE "Y#ENTER."
