[log (27/03/17 13:59:33)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (27/03/17 13:59:33)]  TYPE "putty#ENTER."
[log (27/03/17 13:59:35)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (27/03/17 13:59:37)]  TYPE "OPTIMUS#TAB."
[log (27/03/17 13:59:37)]  TYPE "1234#ENTER."
[log (27/03/17 13:59:39)]  TYPE "221#ENTER."
[log (27/03/17 13:59:40)]  TYPE "2017032402"
[log (27/03/17 13:59:41)]  TYPE "#ENTER."
[log (27/03/17 13:59:41)]  TYPE "#ENTER."
[log (27/03/17 13:59:42)]  TYPE "20001311#ENTER."
[log (27/03/17 13:59:43)]  TYPE "HC#ENTER."
[log (27/03/17 13:59:44)]  TYPE "2017032413"
[log (27/03/17 13:59:44)]  TYPE "#ENTER."
[log (27/03/17 13:59:46)]  TYPE "#ENTER."
[log (27/03/17 13:59:46)]  TYPE "20001413#ENTER."
[log (27/03/17 13:59:47)]  TYPE "H2#ENTER."
[log (27/03/17 13:59:48)]  TYPE "2017031404"
[log (27/03/17 13:59:49)]  TYPE "#ENTER."
[log (27/03/17 13:59:50)]  TYPE "#ENTER."
[log (27/03/17 13:59:50)]  TYPE "20001311#ENTER."
[log (27/03/17 13:59:51)]  TYPE "74#ENTER."
[log (27/03/17 13:59:52)]  TYPE "2017031405"
[log (27/03/17 13:59:53)]  TYPE "#ENTER."
[log (27/03/17 13:59:53)]  TYPE "#ENTER."
[log (27/03/17 13:59:54)]  TYPE "20001311#ENTER."
[log (27/03/17 13:59:55)]  TYPE "M7#ENTER."
[log (27/03/17 13:59:56)]  TYPE "2017031501"
[log (27/03/17 13:59:56)]  TYPE "#ENTER."
[log (27/03/17 13:59:57)]  TYPE "#ENTER."
[log (27/03/17 13:59:58)]  TYPE "20001311#ENTER."
[log (27/03/17 13:59:59)]  TYPE "LR#ENTER."
[log (27/03/17 14:00:00)]  TYPE "2017031502"
[log (27/03/17 14:00:00)]  TYPE "#ENTER."
[log (27/03/17 14:00:01)]  TYPE "#ENTER."
[log (27/03/17 14:00:02)]  TYPE "20001311#ENTER."
[log (27/03/17 14:00:03)]  TYPE "6K#ENTER."
