[log (21/03/17 16:36:54)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (21/03/17 16:36:55)]  TYPE "putty#ENTER."
[log (21/03/17 16:36:56)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (21/03/17 16:36:58)]  TYPE "TONEW#TAB."
[log (21/03/17 16:36:58)]  TYPE "9876#ENTER."
[log (21/03/17 16:36:59)]  TYPE "2313#ENTER."
[log (21/03/17 16:37:00)]  TYPE "A000000385#ENTER."
[log (21/03/17 16:37:02)]  TYPE "#F4."
[log (21/03/17 16:37:03)]  TYPE "PRINTER1#ENTER."
[log (21/03/17 16:37:04)]  TYPE "#ENTER."
[log (21/03/17 16:37:05)]  TYPE "#DOWN."
[log (21/03/17 16:37:05)]  TYPE "#DOWN."
[log (21/03/17 16:37:05)]  TYPE "4c "
[log (21/03/17 16:37:05)]  TYPE "#ENTER."
[log (21/03/17 16:37:06)]  TYPE "20001311#ENTER."
[log (21/03/17 16:37:10)]  TYPE "8098490000490#ENTER."
[log (21/03/17 16:37:18)]  TYPE "#ENTER."
[log (21/03/17 16:37:19)]  TYPE "JW#ENTER."
[log (21/03/17 16:37:29)]  TYPE "A000000386#ENTER."
[log (21/03/17 16:37:31)]  TYPE "#F4."
[log (21/03/17 16:37:31)]  TYPE "PRINTER1#ENTER."
[log (21/03/17 16:37:33)]  TYPE "#ENTER."
[log (21/03/17 16:37:34)]  TYPE "#DOWN."
[log (21/03/17 16:37:34)]  TYPE "#DOWN."
[log (21/03/17 16:37:34)]  TYPE "4c "
[log (21/03/17 16:37:34)]  TYPE "#ENTER."
[log (21/03/17 16:37:34)]  TYPE "20001311#ENTER."
[log (21/03/17 16:37:39)]  TYPE "8098490000508#ENTER."
[log (21/03/17 16:37:47)]  TYPE "#ENTER."
[log (21/03/17 16:37:47)]  TYPE "JW#ENTER."
[log (21/03/17 16:37:58)]  TYPE "A000000387#ENTER."
[log (21/03/17 16:38:00)]  TYPE "#F4."
[log (21/03/17 16:38:01)]  TYPE "PRINTER1#ENTER."
[log (21/03/17 16:38:02)]  TYPE "#ENTER."
[log (21/03/17 16:38:03)]  TYPE "#DOWN."
[log (21/03/17 16:38:03)]  TYPE "#DOWN."
[log (21/03/17 16:38:03)]  TYPE "4c "
[log (21/03/17 16:38:03)]  TYPE "#ENTER."
[log (21/03/17 16:38:04)]  TYPE "20001311#ENTER."
[log (21/03/17 16:38:08)]  TYPE "8098490000516#ENTER."
[log (21/03/17 16:38:16)]  TYPE "#ENTER."
[log (21/03/17 16:38:17)]  TYPE "JW#ENTER."
[log (21/03/17 16:38:27)]  TYPE "A000000388#ENTER."
[log (21/03/17 16:38:29)]  TYPE "#F4."
[log (21/03/17 16:38:29)]  TYPE "PRINTER1#ENTER."
[log (21/03/17 16:38:30)]  TYPE "#ENTER."
[log (21/03/17 16:38:31)]  TYPE "#DOWN."
[log (21/03/17 16:38:31)]  TYPE "#DOWN."
[log (21/03/17 16:38:31)]  TYPE "4c "
[log (21/03/17 16:38:31)]  TYPE "#ENTER."
[log (21/03/17 16:38:32)]  TYPE "20001311#ENTER."
[log (21/03/17 16:38:36)]  TYPE "8098490000524#ENTER."
[log (21/03/17 16:38:44)]  TYPE "#ENTER."
[log (21/03/17 16:38:44)]  TYPE "JW#ENTER."
[log (21/03/17 16:38:55)]  TYPE "A000000389#ENTER."
[log (21/03/17 16:38:56)]  TYPE "#F4."
[log (21/03/17 16:38:57)]  TYPE "PRINTER1#ENTER."
[log (21/03/17 16:38:58)]  TYPE "#ENTER."
[log (21/03/17 16:38:59)]  TYPE "#DOWN."
[log (21/03/17 16:38:59)]  TYPE "#DOWN."
[log (21/03/17 16:38:59)]  TYPE "4c "
[log (21/03/17 16:38:59)]  TYPE "#ENTER."
[log (21/03/17 16:39:00)]  TYPE "20001311#ENTER."
[log (21/03/17 16:39:04)]  TYPE "8098490000532#ENTER."
[log (21/03/17 16:39:12)]  TYPE "#ENTER."
[log (21/03/17 16:39:13)]  TYPE "JW#ENTER."
[log (21/03/17 16:39:23)]  TYPE "A000000390#ENTER."
[log (21/03/17 16:39:24)]  TYPE "#F4."
[log (21/03/17 16:39:25)]  TYPE "PRINTER1#ENTER."
[log (21/03/17 16:39:26)]  TYPE "#ENTER."
[log (21/03/17 16:39:27)]  TYPE "#DOWN."
[log (21/03/17 16:39:27)]  TYPE "#DOWN."
[log (21/03/17 16:39:27)]  TYPE "4c "
[log (21/03/17 16:39:27)]  TYPE "#ENTER."
[log (21/03/17 16:39:28)]  TYPE "20001311#ENTER."
[log (21/03/17 16:39:32)]  TYPE "8098490000540#ENTER."
[log (21/03/17 16:39:40)]  TYPE "#ENTER."
[log (21/03/17 16:39:41)]  TYPE "JW#ENTER."
[log (21/03/17 16:39:55)]  TYPE "#F10."
[log (21/03/17 16:39:55)]  TYPE "3#ENTER."
[log (21/03/17 16:40:00)] ( Alt )  TYPE "#F4."
[log (21/03/17 16:40:00)]  TYPE " "
