[log (20/03/17 17:01:54)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (20/03/17 17:01:55)]  TYPE "putty#ENTER."
[log (20/03/17 17:01:56)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (20/03/17 17:01:58)]  TYPE "TONEW#TAB."
[log (20/03/17 17:01:59)]  TYPE "9876#ENTER."
[log (20/03/17 17:02:00)]  TYPE "2313#ENTER."
[log (20/03/17 17:02:00)]  TYPE "A000000349#ENTER."
[log (20/03/17 17:02:02)]  TYPE "#F4."
[log (20/03/17 17:02:03)]  TYPE "PRINTER1#ENTER."
[log (20/03/17 17:02:04)]  TYPE "#ENTER."
[log (20/03/17 17:02:17)]  TYPE "#F10."
[log (20/03/17 17:02:20)]  TYPE "#F10."
[log (20/03/17 17:02:21)]  TYPE "3#ENTER."
[log (20/03/17 17:02:22)] ( Alt )  TYPE "#F4."
[log (20/03/17 17:02:22)]  TYPE " "
