[log (16/03/17 16:48:09)] CLICK on L(28,748)@S(0)[0,0 1366x768]
[log (16/03/17 16:48:10)]  TYPE "putty#ENTER."
[log (16/03/17 16:48:11)] DOUBLE CLICK on L(703,416)@S(0)[0,0 1366x768]
[log (16/03/17 16:48:13)]  TYPE "OPTIMUS#TAB."
[log (16/03/17 16:48:14)]  TYPE "1234#ENTER."
[log (16/03/17 16:48:15)]  TYPE "2313#ENTER."
[log (16/03/17 16:48:25)]  TYPE "A000000221#ENTER."
[log (16/03/17 16:48:26)]  TYPE "#ENTER."
[log (16/03/17 16:48:27)]  TYPE "#F4."
[log (16/03/17 16:48:27)]  TYPE "PRINTER1#ENTER."
[log (16/03/17 16:48:29)]  TYPE "#ENTER."
[log (16/03/17 16:48:29)]  TYPE "#DOWN."
[log (16/03/17 16:48:29)]  TYPE "#DOWN."
[log (16/03/17 16:48:30)]  TYPE "4c "
[log (16/03/17 16:48:30)]  TYPE "#DOWN."
[log (16/03/17 16:48:30)]  TYPE "01012017"
[log (16/03/17 16:48:30)]  TYPE "01012020"
[log (16/03/17 16:48:31)]  TYPE "#ENTER."
[log (16/03/17 16:48:31)]  TYPE "20001219#ENTER."
[log (16/03/17 16:48:33)]  TYPE "8072811373332#ENTER."
[log (16/03/17 16:48:34)]  TYPE "#ENTER."
[log (16/03/17 16:48:34)]  TYPE "#ENTER."
[log (16/03/17 16:48:35)]  TYPE "Y4CNB#ENTER."
[log (16/03/17 16:48:38)]  TYPE "#F10."
[log (16/03/17 16:48:39)]  TYPE "3#ENTER."
[log (16/03/17 16:48:40)] ( Alt )  TYPE "#F4."
[log (16/03/17 16:48:40)]  TYPE " "
